member_id,loan_amount,funded_amount,funded_amount_inv,term,int_rate,instalment,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_accounts,total_accounts,out_prncp,out_prncp_inv,total_payment,total_payment_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,next_payment_date,last_credit_pull_date,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type
41439872,26500,26500.0,26200.0,,19.99,701.95,E,E3,< 1 ,RENT,78000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,13.71,0,Mar-2001,0,43.0,,10,37,0.0,0.0,4182.27,4134.92,1197.35,2984.92,0.0,0.0,0.0,Aug-2021,701.95,,Jan-2022,0.0,43.0,1,INDIVIDUAL
41438603,11200,11200.0,11200.0,60 ,16.49,275.29,D,D3,3 ,RENT,94000.0,Not Verified,Jan-2021,Charged Off,n,debt_consolidation,26.95,0,Apr-1997,1,,,16,36,0.0,0.0,1906.51,1906.51,885.52,1020.99,0.0,0.0,0.0,Aug-2021,275.29,,Jan-2022,0.0,,1,INDIVIDUAL
41429742,1325,1325.0,1325.0,36 ,17.14,47.34,D,D4,< 1 ,MORTGAGE,28000.0,Not Verified,Jan-2021,Charged Off,n,debt_consolidation,38.66,0,Nov-2001,0,26.0,27.0,18,28,0.0,0.0,282.78,282.78,176.69,106.09,0.0,0.0,0.0,Jul-2021,47.34,,Jan-2022,0.0,30.0,1,INDIVIDUAL
41429516,8150,8150.0,8150.0,36 ,19.99,302.85,E,E3,10+ ,RENT,34000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,23.4,0,Apr-1990,0,,,8,13,0.0,0.0,1808.05,1808.05,1045.2,762.85,0.0,0.0,0.0,Jul-2021,302.85,,Dec-2021,0.0,,1,INDIVIDUAL
41428644,7000,7000.0,7000.0,36 ,12.99,235.83,C,C2,2 ,RENT,70000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,13.12,1,May-2009,2,18.0,,9,19,0.0,0.0,1654.14,1654.14,321.84,139.72,0.0,1192.58,214.664399998,Mar-2021,235.83,,Aug-2021,0.0,,1,INDIVIDUAL
41427896,14000,,14000.0,36 ,7.49,435.43,A,A4,< 1 ,RENT,140000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,16.6,9,Aug-1989,0,16.0,,10,28,0.0,0.0,1294.64,1294.64,1056.35,238.29,0.0,0.0,0.0,Apr-2021,435.43,,Jan-2022,0.0,17.0,1,INDIVIDUAL
41419794,35000,,35000.0,,14.31,820.03,C,C4,10+ ,MORTGAGE,140000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,15.55,0,May-2002,0,,,12,22,0.0,0.0,4113.33,4113.33,2061.87,2010.46,41.0,0.0,0.0,Jul-2021,861.03,,Dec-2021,0.0,,1,INDIVIDUAL
41418418,16000,16000.0,16000.0,60 ,12.99,363.97,C,C2,1 ,RENT,95000.0,Source Verified,Jan-2021,Charged Off,n,home_improvement,13.13,1,Feb-2001,1,8.0,,14,31,0.0,0.0,1432.79,1432.79,775.56,657.23,0.0,0.0,0.0,May-2021,363.97,,Jan-2022,0.0,8.0,1,INDIVIDUAL
41410175,3000,3000.0,3000.0,36 ,15.59,104.87,D,D1,8 ,RENT,25000.0,Not Verified,Jan-2021,Charged Off,n,debt_consolidation,34.28,0,Oct-1996,0,,86.0,9,17,0.0,0.0,521.75,521.75,338.15,183.6,0.0,0.0,0.0,Jun-2021,104.87,,Dec-2021,0.0,,1,INDIVIDUAL
41399301,11200,11200.0,11200.0,60 ,20.99,302.94,E,E4,5 ,RENT,35000.0,Source Verified,Jan-2021,Charged Off,n,credit_card,11.8,0,Sep-2011,1,,,8,8,0.0,0.0,2884.14,2884.14,326.75,555.95,0.0,2001.44,360.2592,Apr-2021,302.94,,Sep-2021,0.0,,1,INDIVIDUAL
41398737,3825,3825.0,3825.0,36 ,17.14,136.64,D,D4,4 ,RENT,58000.0,Not Verified,Jan-2021,Charged Off,n,other,14.92,0,Jul-2001,1,71.0,,9,24,0.0,0.0,949.2,949.2,599.24,349.96,0.0,0.0,0.0,Aug-2021,136.64,,Jan-2022,0.0,72.0,1,INDIVIDUAL
41390334,9650,9650.0,9650.0,36 ,16.49,341.61,D,D3,2 ,RENT,36000.0,Not Verified,Jan-2021,Charged Off,n,debt_consolidation,17.93,0,May-2003,2,,,5,11,0.0,0.0,2382.43,2382.43,1524.73,857.7,0.0,0.0,0.0,Aug-2021,341.61,,Jan-2022,0.0,,1,INDIVIDUAL
41389451,7650,7650.0,7650.0,36 ,,278.65,E,E1,3 ,RENT,50000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,17.83,0,Sep-2006,2,,,16,22,0.0,0.0,1664.02,1664.02,1000.71,663.31,0.0,0.0,0.0,Jul-2021,278.65,,Jan-2022,0.0,,1,INDIVIDUAL
41388114,13975,13975.0,13975.0,60 ,22.99,393.89,F,F1,10+ ,MORTGAGE,66000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,29.0,0,Nov-1993,1,,110.0,18,37,0.0,0.0,1539.86,1539.86,519.3,1020.56,0.0,0.0,0.0,May-2021,393.89,,Jan-2022,0.0,,1,INDIVIDUAL
41378514,12000,12000.0,12000.0,36 ,11.44,395.37,B,B4,10+ ,MORTGAGE,93000.0,Not Verified,Jan-2021,Charged Off,n,other,12.49,0,May-2002,1,48.0,,11,37,0.0,0.0,2759.96,2759.96,2023.94,736.02,0.0,0.0,0.0,Aug-2021,395.37,,Jan-2022,0.0,,1,INDIVIDUAL
41369357,12000,12000.0,12000.0,60 ,17.86,303.81,D,D5,10+ ,MORTGAGE,80000.0,Source Verified,Jan-2021,Charged Off,n,debt_consolidation,12.0,0,Jan-2004,1,59.0,,7,16,0.0,0.0,2129.95,2129.95,915.29,1199.47,15.19,0.0,0.0,Aug-2021,303.81,,Jan-2022,0.0,59.0,1,INDIVIDUAL
41369191,5000,5000.0,5000.0,36 ,16.49,177.0,D,D3,10+ ,MORTGAGE,41056.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,19.37,0,Oct-2007,1,,,7,14,0.0,0.0,679.88,679.88,442.17,237.71,0.0,0.0,0.0,May-2021,153.46,,Dec-2021,0.0,,1,INDIVIDUAL
41368951,10500,10500.0,10500.0,60 ,15.59,253.06,D,D1,10+ ,MORTGAGE,145000.0,Source Verified,Jan-2021,Charged Off,n,other,30.23,0,May-1984,0,,,15,29,0.0,0.0,1247.11,1247.11,598.59,648.52,0.0,0.0,0.0,Jun-2021,253.06,,Jan-2022,2.0,,1,INDIVIDUAL
41368569,25000,25000.0,25000.0,,8.67,514.97,B,B1,,RENT,118000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,17.62,0,Dec-1985,0,48.0,,5,30,0.0,0.0,1017.9,1017.9,671.11,346.79,0.0,0.0,0.0,Mar-2021,514.97,,Feb-2021,0.0,72.0,1,INDIVIDUAL
41367860,7500,7500.0,7500.0,36 ,6.99,231.55,A,A3,10+ ,MORTGAGE,45000.0,Not Verified,Jan-2021,Charged Off,n,home_improvement,8.02,0,Nov-1999,0,39.0,,21,80,0.0,0.0,1386.39,1386.39,1143.72,242.67,0.0,0.0,0.0,Jul-2021,231.55,,Jan-2022,0.0,39.0,1,INDIVIDUAL
41359459,13050,,13050.0,60 ,,345.68,E,E3,6 ,MORTGAGE,43000.0,Source Verified,Jan-2021,Charged Off,n,car,36.98,0,Mar-2002,2,,,14,23,0.0,0.0,3022.27,3022.27,258.71,418.16,0.0,2345.4,422.172000003,Mar-2021,345.68,,Aug-2021,0.0,,1,INDIVIDUAL
41349408,23550,23550.0,23550.0,36 ,15.59,823.19,D,D1,< 1 ,MORTGAGE,59000.0,Verified,Jan-2021,Charged Off,n,debt_consolidation,28.46,0,Jan-1987,0,,,15,36,0.0,0.0,3272.36,3272.36,2109.61,1162.75,0.0,0.0,0.0,May-2021,823.19,,Jan-2022,0.0,,1,INDIVIDUAL
